Assuming page size is 64 KB
8
8

Global6: Testing associativity of L1 TLB.
   entries, array size (KB), stride (KB), latency
   8, 38968.00, 4871.000000, 186.167578
   8, 46341.00, 5792.625000, 185.697363
   8, 55109.00, 6888.625000, 186.168652
   8, 65536.00, 8192.000000, 186.535352
   8, 77936.00, 9742.000000, 186.721289
   8, 92682.00, 11585.250000, 185.954883
   8, 110218.00, 13777.250000, 186.145312
   8, 131072.00, 16384.000000, 186.531348
   8, 155872.00, 19484.000000, 186.999805
   8, 185364.00, 23170.500000, 185.652344
   8, 220436.00, 27554.500000, 185.902344
   8, 262144.00, 32768.000000, 186.257031
   8, 311744.00, 38968.000000, 186.719238
   8, 370728.00, 46341.000000, 186.534277
   8, 440872.00, 55109.000000, 186.170410
   8, 524288.00, 65536.000000, 186.535840
   8, 623487.00, 77935.875000, 186.720703
   8, 741455.00, 92681.875000, 186.525098
   8, 881744.00, 110218.000000, 186.462109
   8, 1048576.00, 131072.000000, 186.523926
   8, 1246974.00, 155871.750000, 187.550879
   8, 1482910.00, 185363.750000, 186.810937
   8, 1763488.00, 220436.000000, 185.914746
   8, 2097152.00, 262144.000000, OOM.
   8, 2493948.00, 311743.500000, OOM.
